"ID0000001","John J. Smith",CT1001,"ID0000001","1900-01-01","1900-01-31","1000.00","43951"
"ID0000002","Jane J. Jones",CT1002,"ID0000002","1900-01-01","1900-01-31","1000.00","43951"
"ID0000002","Jane J. Jones",CT1102,"ID0000002","1900-02-01","1900-02-28","1000.00","43923"
"ID0000002","Jane J. Jones",CT1202,"ID0000002","1900-03-01","1900-03-31","1000.00","43892"
"ID0000003","Billy T. Kirk",CT1003,"ID0000003","2245-01-01","2245-01-31","100000.00","82028"
"ID0000004","Donny J. Goodman","CT1004","ID0000004","2000-01-01","2000-01-31","1000000.00","7427"
"ID0000004","Donny J. Goodman","CT1014","ID0000004","2000-02-01","2000-02-28","1000000.00","7399"
"ID0000004","Donny J. Goodman","CT1024","ID0000004","2000-03-01","2000-03-31","1000000.00","7367"
"ID0000004","Donny J. Goodman","CT1034","ID0000004","2000-04-01","2000-04-30","1000000.00","7337"
"ID0000004","Donny J. Goodman","CT1044","ID0000004","2000-05-01","2000-05-31","1000000.00","7306"
"ID0000004","Donny J. Goodman","CT1054","ID0000004","2000-06-01","2000-06-30","1000000.00","7276"
"ID0000004","Donny J. Goodman","CT1064","ID0000004","2000-07-01","2000-07-31","1000000.00","7245"
"ID0000004","Donny J. Goodman","CT1074","ID0000004","2000-08-01","2000-08-31","1000000.00","7214"
"ID0000004","Donny J. Goodman","CT1084","ID0000004","2000-09-01","2000-09-30","1000000.00","7184"
"ID0000004","Donny J. Goodman","CT1094","ID0000004","2000-10-01","2000-10-31","1000000.00","7153"
"ID0000004","Donny J. Goodman","CT1104","ID0000004","2000-11-01","2000-11-30","1000000.00","7123"
"ID0000004","Donny J. Goodman","CT1114","ID0000004","2000-12-01","2000-12-31","1000000.00","7092"
